city,longitude,latitude,Median price (EUR),Count of cars,scaled_count
Baja,18.9667,46.1833,6300,109,10
Budakalász,19.05,47.6167,13900,90,10
Budapest,19.0469,47.5011,15200,5765,50
Budaörs,18.9602,47.4531,26600,784,15
Békéscsaba,21.1,46.6833,8000,358,12
Cegléd,19.8,47.1667,8300,178,11
Debrecen,21.24,47.7675,12800,563,13
Dunaharaszti,19.0833,47.35,8000,105,10
Dunakeszi,19.1333,47.6333,15300,340,12
Dunaújváros,18.9333,46.9833,12900,72,10
Edelény,20.7333,48.3,18700,136,10
Eger,20.3709,47.9058,10100,235,11
Esztergom,18.75,47.8,11900,78,10
Fót,19.2,47.6167,22400,81,10
Gyula,21.2773,46.6474,5800,77,10
Győr,17.7819,47.6076,13600,937,16
Gödöllő,19.3667,47.6,12400,108,10
Halásztelek,18.9833,47.3667,10700,159,11
Hatvan,19.6833,47.6667,4900,70,10
Hódmezővásárhely,20.3333,46.4167,9000,57,10
Jászberény,19.9167,47.5,17900,142,10
Kakasd,18.6,46.35,12600,60,10
Kaposvár,17.8,46.3667,20400,251,11
Kecskemét,19.7833,46.9,9000,715,14
Keszthely,17.2574,46.7658,10600,57,10
Kiskunfélegyháza,19.8522,46.7136,9300,192,11
Kiskunhalas,19.4875,46.4314,10700,55,10
Kiskőrös,19.2886,46.6206,8100,56,10
Lothárd,18.3525,45.9989,7500,58,10
Maglód,19.3667,47.45,14000,52,10
Mezőkövesd,20.5833,47.8167,9300,105,10
Mikepércs,21.6333,47.45,4400,195,11
Miskolc,20.9354,47.9804,13700,292,12
Mosonmagyaróvár,17.2833,47.8667,14100,186,11
Nagykanizsa,17.0102,46.4618,19500,420,12
Nyíregyháza,21.7167,47.95,13300,661,14
Pápa,17.4667,47.3333,9100,261,11
Pécs,18.2068,46.0967,11700,674,14
Siófok,18.0485,46.9058,11400,148,11
Sopron,16.5852,47.672,13200,219,11
Szeged,20.027,46.318,13000,475,13
Szekszárd,18.7167,46.35,5900,249,11
Szentendre,19.0833,47.6667,12900,120,10
Szigetszentmiklós,19.05,47.35,17300,235,11
Szolnok,20.2,47.1833,6900,269,11
Szombathely,16.6168,47.2448,13300,480,13
Százhalombatta,18.9333,47.3333,10600,69,10
Székesfehérvár,18.4166,47.2,12400,663,14
Sátoraljaújhely,21.6667,48.4,6400,67,10
Tapolca,17.4333,46.8833,9300,63,10
Tata,18.3167,47.65,14000,96,10
Tatabánya,18.4167,47.5667,13300,347,12
Törökbálint,18.9167,47.4333,24600,56,10
Vecsés,19.2458,47.4018,12100,66,10
Veszprém,17.9167,47.1,14100,179,11
Vác,19.1333,47.7833,10900,248,11
Vértesszőlős,18.3833,47.6167,13600,78,10
Zalaegerszeg,16.8439,46.84,13700,302,12
Érd,18.9333,47.3667,12800,277,11
